Year,CO2 Emissions (MtCO2),Temperature Anomalies (°C)
1949,0.015,-.11
1950,0.084,-.17
1951,0.092,-.07
1952,0.092,.01
1953,0.106,.08
1954,0.106,-.13
1955,0.154,-.14
1956,0.183,-.19
1957,0.293,.05
1958,0.33,.06
1959,0.385,.03
1960,0.414,-.03
1961,0.491,.06
1962,0.689,.03
1963,0.707,.05
1964,0.839,-.20
1965,1.007,-.11
1966,1.091,-.06
1967,1.282,-.02
1968,1.223,-.08
1969,0.941,.05
1970,1.67,.03
1971,1.894,-.08
1972,1.53,.01
1973,1.635,.16
1974,1.913,-.07
1975,2.121,-.01
1976,1.981,-.10
1977,2.384,.18
1978,2.153,.07
1979,2.233,.16
1980,1.756,.26
1981,1.978,.32
1982,2.095,.14
1983,2.52,.31
1984,2.822,.16
1985,3.501,.12
1986,3.134,.18
1987,3.114,.32
1988,2.857,.39
1989,2.765,.27
1990,2.024,.45
1991,1.914,.40
1992,1.482,.22
1993,1.487,.23
1994,1.454,.31
1995,1.417,.44
1996,1.37,.33
1997,1.304,.46
1998,1.279,.61
1999,1.092,.38
2000,1.047,.39
2001,1.069,.53
2002,1.341,.63
2003,1.56,.62
2004,1.237,.53
2005,1.89,.68
2006,2.159,.64
2007,2.8,.66
2008,4.254,.54
2009,6.392,.66
2010,8.365,.73
2011,11.838,.61
2012,10.035,.65
2013,9.251,.68
2014,9.17,.75
2015,9.791,.90
2016,9.068,1.02
2017,9.868,.92
2018,10.818,.85
2019,11.082,.98
2020,11.888,1.02
2021,12.283,.85
2022,12.148,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.022,-.28
1885,0.037,-.33
1886,0.048,-.31
1887,0.048,-.36
1888,0.081,-.17
1889,0.132,-.11
1890,0.297,-.35
1891,0.297,-.23
1892,0.48,-.28
1893,1.799,-.31
1894,2.433,-.30
1895,3.338,-.23
1896,4.258,-.12
1897,4.778,-.11
1898,6.049,-.28
1899,5.518,-.18
1900,2.33,-.09
1901,3.909,-.16
1902,5.826,-.28
1903,7.896,-.37
1904,8.911,-.48
1905,10.263,-.27
1906,11.717,-.23
1907,12.93,-.39
1908,13.403,-.43
1909,15.385,-.49
1910,17.411,-.44
1911,16.865,-.45
1912,17.954,-.37
1913,19.606,-.35
1914,19.551,-.16
1915,19.606,-.14
1916,23.255,-.36
1917,25.344,-.46
1918,24.725,-.30
1919,25.443,-.28
1920,28.052,-.28
1921,27.986,-.19
1922,23.97,-.28
1923,29.045,-.27
1924,30.631,-.27
1925,32.185,-.22
1926,34.438,-.11
1927,33.841,-.22
1928,34.77,-.20
1929,35.802,-.36
1930,33.696,-.16
1931,29.464,-.09
1932,26.623,-.16
1933,28.491,-.29
